"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	725	47830261	1.5
	"< 1 year"	"1"	"Non-Injury: Anemias"	"GR113-045"	183	47830261	0.4
	"< 1 year"	"1"	"Non-Injury: Diabetes mellitus"	"GR113-046"	36	47830261	0.1
	"< 1 year"	"1"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	85	47830261	0.2
	"< 1 year"	"1"	"Non-Injury: Meningitis"	"GR113-050"	890	47830261	1.9
	"< 1 year"	"1"	"Non-Injury: Parkinsons disease"	"GR113-051"	4	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Alzheimers disease"	"GR113-052"	0	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	5095	47830261	10.7
	"< 1 year"	"1"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	26	47830261	0.1
	"< 1 year"	"1"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	1498	47830261	3.1
	"< 1 year"	"1"	"Non-Injury: Atherosclerosis"	"GR113-071"	26	47830261	0.1
	"< 1 year"	"1"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	168	47830261	0.4
	"< 1 year"	"1"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	368	47830261	0.8
	"< 1 year"	"1"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	3188	47830261	6.7
	"< 1 year"	"1"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	589	47830261	1.2
	"< 1 year"	"1"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	420	47830261	0.9
	"< 1 year"	"1"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	4	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	139	47830261	0.3
	"< 1 year"	"1"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	3423	47830261	7.2
	"< 1 year"	"1"	"Non-Injury: Peptic ulcer"	"GR113-090"	16	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Diseases of appendix"	"GR113-091"	32	47830261	0.1
	"< 1 year"	"1"	"Non-Injury: Hernia"	"GR113-092"	413	47830261	0.9
	"< 1 year"	"1"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	63	47830261	0.1
	"< 1 year"	"1"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	4	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	1813	47830261	3.8
	"< 1 year"	"1"	"Non-Injury: Infections of kidney"	"GR113-102"	49	47830261	0.1
	"< 1 year"	"1"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	1	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	14	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	0	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	0	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	166192	47830261	347.5
	"< 1 year"	"1"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	66815	47830261	139.7
	"< 1 year"	"1"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	41489	47830261	86.7
	"< 1 year"	"1"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	13403	47830261	28.0
	"< 1 year"	"1"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	272	47830261	0.6
"Total"	"< 1 year"	"1"			332697	47830261	695.6
	"1-4 years"	"1-4"	"Cut/Pierce"	"GRINJ-001"	164	189286073	0.1
	"1-4 years"	"1-4"	"Drowning"	"GRINJ-002"	5766	189286073	3.0
	"1-4 years"	"1-4"	"Fall"	"GRINJ-003"	507	189286073	0.3
	"1-4 years"	"1-4"	"Fire/Flame"	"GRINJ-004"	2819	189286073	1.5
	"1-4 years"	"1-4"	"Hot object/Substance"	"GRINJ-005"	81	189286073	0.0
	"1-4 years"	"1-4"	"Firearm"	"GRINJ-006"	751	189286073	0.4
	"1-4 years"	"1-4"	"Machinery"	"GRINJ-007"	100	189286073	0.1
	"1-4 years"	"1-4"	"Motor Vehicle Traffic"	"GRINJ-008"	5679	189286073	3.0
	"1-4 years"	"1-4"	"Other Pedal cyclist"	"GRINJ-009"	27	189286073	0.0
	"1-4 years"	"1-4"	"Other Pedestrian"	"GRINJ-010"	1282	189286073	0.7
	"1-4 years"	"1-4"	"Other land transport"	"GRINJ-011"	254	189286073	0.1
	"1-4 years"	"1-4"	"Other transport"	"GRINJ-012"	97	189286073	0.1
	"1-4 years"	"1-4"	"Natural/Environmental"	"GRINJ-013"	450	189286073	0.2
	"1-4 years"	"1-4"	"Overexertion"	"GRINJ-014"	0	189286073	Unreliable
	"1-4 years"	"1-4"	"Poisoning"	"GRINJ-015"	640	189286073	0.3
	"1-4 years"	"1-4"	"Struck by or against"	"GRINJ-016"	470	189286073	0.2
	"1-4 years"	"1-4"	"Suffocation"	"GRINJ-017"	2024	189286073	1.1
	"1-4 years"	"1-4"	"Other specified, classifiable Injury"	"GRINJ-018"	1071	189286073	0.6
	"1-4 years"	"1-4"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	510	189286073	0.3
	"1-4 years"	"1-4"	"Unspecified Injury"	"GRINJ-020"	2237	189286073	1.2
	"1-4 years"	"1-4"	"Non-Injury: Intestinal infections"	"GR113 001-003"	157	189286073	0.1
	"1-4 years"	"1-4"	"Non-Injury: Tuberculosis"	"GR113 005-006"	21	189286073	0.0
	"1-4 years"	"1-4"	"Non-Injury: Whooping cough"	"GR113-007"	2	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	1	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Meningococcal infection"	"GR113-009"	177	189286073	0.1
	"1-4 years"	"1-4"	"Non-Injury: Septicemia"	"GR113-010"	1019	189286073	0.5
	"1-4 years"	"1-4"	"Non-Injury: Syphilis"	"GR113-011"	2	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	3	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Measles"	"GR113-014"	2	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Viral hepatitis"	"GR113-015"	9	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	73	189286073	0.0
	"1-4 years"	"1-4"	"Non-Injury: Malaria"	"GR113-017"	1	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	819	189286073	0.4
	"1-4 years"	"1-4"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	4659	189286073	2.5
	"1-4 years"	"1-4"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	667	189286073	0.4
	"1-4 years"	"1-4"	"Non-Injury: Anemias"	"GR113-045"	314	189286073	0.2
	"1-4 years"	"1-4"	"Non-Injury: Diabetes mellitus"	"GR113-046"	63	189286073	0.0
	"1-4 years"	"1-4"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	37	189286073	0.0
	"1-4 years"	"1-4"	"Non-Injury: Meningitis"	"GR113-050"	294	189286073	0.2
	"1-4 years"	"1-4"	"Non-Injury: Parkinsons disease"	"GR113-051"	3	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Alzheimers disease"	"GR113-052"	0	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	2111	189286073	1.1
	"1-4 years"	"1-4"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	16	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	615	189286073	0.3
	"1-4 years"	"1-4"	"Non-Injury: Atherosclerosis"	"GR113-071"	4	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	39	189286073	0.0
	"1-4 years"	"1-4"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	40	189286073	0.0
	"1-4 years"	"1-4"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	1460	189286073	0.8
	"1-4 years"	"1-4"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	223	189286073	0.1
	"1-4 years"	"1-4"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	643	189286073	0.3
	"1-4 years"	"1-4"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	7	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	120	189286073	0.1
	"1-4 years"	"1-4"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	1147	189286073	0.6
	"1-4 years"	"1-4"	"Non-Injury: Peptic ulcer"	"GR113-090"	13	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Diseases of appendix"	"GR113-091"	40	189286073	0.0
	"1-4 years"	"1-4"	"Non-Injury: Hernia"	"GR113-092"	44	189286073	0.0
	"1-4 years"	"1-4"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	21	189286073	0.0
	"1-4 years"	"1-4"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	2	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	178	189286073	0.1
	"1-4 years"	"1-4"	"Non-Injury: Infections of kidney"	"GR113-102"	24	189286073	0.0
	"1-4 years"	"1-4"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	0	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	2	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	0	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	0	189286073	Unreliable
	"1-4 years"	"1-4"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	802	189286073	0.4
	"1-4 years"	"1-4"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	6316	189286073	3.3
	"1-4 years"	"1-4"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	2956	189286073	1.6
	"1-4 years"	"1-4"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	7200	189286073	3.8
	"1-4 years"	"1-4"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	254	189286073	0.1
"Total"	"1-4 years"	"1-4"			57529	189286073	30.4
	"5-9 years"	"5-9"	"Cut/Pierce"	"GRINJ-001"	157	239385956	0.1
	"5-9 years"	"5-9"	"Drowning"	"GRINJ-002"	1833	239385956	0.8
	"5-9 years"	"5-9"	"Fall"	"GRINJ-003"	211	239385956	0.1
	"5-9 years"	"5-9"	"Fire/Flame"	"GRINJ-004"	1806	239385956	0.8
	"5-9 years"	"5-9"	"Hot object/Substance"	"GRINJ-005"	8	239385956	Unreliable
	"5-9 years"	"5-9"	"Firearm"	"GRINJ-006"	834	239385956	0.3
	"5-9 years"	"5-9"	"Machinery"	"GRINJ-007"	77	239385956	0.0
	"5-9 years"	"5-9"	"Motor Vehicle Traffic"	"GRINJ-008"	6592	239385956	2.8
	"5-9 years"	"5-9"	"Other Pedal cyclist"	"GRINJ-009"	81	239385956	0.0
	"5-9 years"	"5-9"	"Other Pedestrian"	"GRINJ-010"	331	239385956	0.1
	"5-9 years"	"5-9"	"Other land transport"	"GRINJ-011"	500	239385956	0.2
	"5-9 years"	"5-9"	"Other transport"	"GRINJ-012"	190	239385956	0.1
	"5-9 years"	"5-9"	"Natural/Environmental"	"GRINJ-013"	154	239385956	0.1
	"5-9 years"	"5-9"	"Overexertion"	"GRINJ-014"	0	239385956	Unreliable
	"5-9 years"	"5-9"	"Poisoning"	"GRINJ-015"	277	239385956	0.1
	"5-9 years"	"5-9"	"Struck by or against"	"GRINJ-016"	230	239385956	0.1
	"5-9 years"	"5-9"	"Suffocation"	"GRINJ-017"	756	239385956	0.3
	"5-9 years"	"5-9"	"Other specified, classifiable Injury"	"GRINJ-018"	268	239385956	0.1
	"5-9 years"	"5-9"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	207	239385956	0.1
	"5-9 years"	"5-9"	"Unspecified Injury"	"GRINJ-020"	359	239385956	0.1
	"5-9 years"	"5-9"	"Non-Injury: Intestinal infections"	"GR113 001-003"	38	239385956	0.0
	"5-9 years"	"5-9"	"Non-Injury: Tuberculosis"	"GR113 005-006"	6	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Whooping cough"	"GR113-007"	0	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	3	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Meningococcal infection"	"GR113-009"	75	239385956	0.0
	"5-9 years"	"5-9"	"Non-Injury: Septicemia"	"GR113-010"	435	239385956	0.2
	"5-9 years"	"5-9"	"Non-Injury: Syphilis"	"GR113-011"	0	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	3	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Measles"	"GR113-014"	0	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Viral hepatitis"	"GR113-015"	8	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	107	239385956	0.0
	"5-9 years"	"5-9"	"Non-Injury: Malaria"	"GR113-017"	0	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	366	239385956	0.2
	"5-9 years"	"5-9"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	5867	239385956	2.5
	"5-9 years"	"5-9"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	556	239385956	0.2
	"5-9 years"	"5-9"	"Non-Injury: Anemias"	"GR113-045"	227	239385956	0.1
	"5-9 years"	"5-9"	"Non-Injury: Diabetes mellitus"	"GR113-046"	89	239385956	0.0
	"5-9 years"	"5-9"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	14	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Meningitis"	"GR113-050"	124	239385956	0.1
	"5-9 years"	"5-9"	"Non-Injury: Parkinsons disease"	"GR113-051"	1	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Alzheimers disease"	"GR113-052"	0	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1167	239385956	0.5
	"5-9 years"	"5-9"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	10	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	440	239385956	0.2
	"5-9 years"	"5-9"	"Non-Injury: Atherosclerosis"	"GR113-071"	1	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	31	239385956	0.0
	"5-9 years"	"5-9"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	23	239385956	0.0
	"5-9 years"	"5-9"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	607	239385956	0.3
	"5-9 years"	"5-9"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	33	239385956	0.0
	"5-9 years"	"5-9"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	597	239385956	0.2
	"5-9 years"	"5-9"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	1	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	61	239385956	0.0
	"5-9 years"	"5-9"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	410	239385956	0.2
	"5-9 years"	"5-9"	"Non-Injury: Peptic ulcer"	"GR113-090"	8	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Diseases of appendix"	"GR113-091"	64	239385956	0.0
	"5-9 years"	"5-9"	"Non-Injury: Hernia"	"GR113-092"	22	239385956	0.0
	"5-9 years"	"5-9"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	5	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	5	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	113	239385956	0.0
	"5-9 years"	"5-9"	"Non-Injury: Infections of kidney"	"GR113-102"	5	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	0	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	0	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	0	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	0	239385956	Unreliable
	"5-9 years"	"5-9"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	210	239385956	0.1
	"5-9 years"	"5-9"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	2273	239385956	0.9
	"5-9 years"	"5-9"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	745	239385956	0.3
	"5-9 years"	"5-9"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	4525	239385956	1.9
	"5-9 years"	"5-9"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	116	239385956	0.0
"Total"	"5-9 years"	"5-9"			34262	239385956	14.3
	"10-14 years"	"10-14"	"Cut/Pierce"	"GRINJ-001"	235	250939740	0.1
	"10-14 years"	"10-14"	"Drowning"	"GRINJ-002"	1678	250939740	0.7
	"10-14 years"	"10-14"	"Fall"	"GRINJ-003"	304	250939740	0.1
	"10-14 years"	"10-14"	"Fire/Flame"	"GRINJ-004"	1027	250939740	0.4
	"10-14 years"	"10-14"	"Hot object/Substance"	"GRINJ-005"	3	250939740	Unreliable
	"10-14 years"	"10-14"	"Firearm"	"GRINJ-006"	3113	250939740	1.2
	"10-14 years"	"10-14"	"Machinery"	"GRINJ-007"	89	250939740	0.0
	"10-14 years"	"10-14"	"Motor Vehicle Traffic"	"GRINJ-008"	9048	250939740	3.6
	"10-14 years"	"10-14"	"Other Pedal cyclist"	"GRINJ-009"	156	250939740	0.1
	"10-14 years"	"10-14"	"Other Pedestrian"	"GRINJ-010"	304	250939740	0.1
	"10-14 years"	"10-14"	"Other land transport"	"GRINJ-011"	876	250939740	0.3
	"10-14 years"	"10-14"	"Other transport"	"GRINJ-012"	314	250939740	0.1
	"10-14 years"	"10-14"	"Natural/Environmental"	"GRINJ-013"	168	250939740	0.1
	"10-14 years"	"10-14"	"Overexertion"	"GRINJ-014"	0	250939740	Unreliable
	"10-14 years"	"10-14"	"Poisoning"	"GRINJ-015"	707	250939740	0.3
	"10-14 years"	"10-14"	"Struck by or against"	"GRINJ-016"	195	250939740	0.1
	"10-14 years"	"10-14"	"Suffocation"	"GRINJ-017"	2947	250939740	1.2
	"10-14 years"	"10-14"	"Other specified, classifiable Injury"	"GRINJ-018"	248	250939740	0.1
	"10-14 years"	"10-14"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	235	250939740	0.1
	"10-14 years"	"10-14"	"Unspecified Injury"	"GRINJ-020"	328	250939740	0.1
	"10-14 years"	"10-14"	"Non-Injury: Intestinal infections"	"GR113 001-003"	29	250939740	0.0
	"10-14 years"	"10-14"	"Non-Injury: Tuberculosis"	"GR113 005-006"	11	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Whooping cough"	"GR113-007"	2	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	0	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Meningococcal infection"	"GR113-009"	82	250939740	0.0
	"10-14 years"	"10-14"	"Non-Injury: Septicemia"	"GR113-010"	449	250939740	0.2
	"10-14 years"	"10-14"	"Non-Injury: Syphilis"	"GR113-011"	2	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	2	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Measles"	"GR113-014"	0	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Viral hepatitis"	"GR113-015"	9	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	175	250939740	0.1
	"10-14 years"	"10-14"	"Non-Injury: Malaria"	"GR113-017"	1	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	351	250939740	0.1
	"10-14 years"	"10-14"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	5902	250939740	2.4
	"10-14 years"	"10-14"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	492	250939740	0.2
	"10-14 years"	"10-14"	"Non-Injury: Anemias"	"GR113-045"	270	250939740	0.1
	"10-14 years"	"10-14"	"Non-Injury: Diabetes mellitus"	"GR113-046"	288	250939740	0.1
	"10-14 years"	"10-14"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	16	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Meningitis"	"GR113-050"	145	250939740	0.1
	"10-14 years"	"10-14"	"Non-Injury: Parkinsons disease"	"GR113-051"	0	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Alzheimers disease"	"GR113-052"	1	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1794	250939740	0.7
	"10-14 years"	"10-14"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	10	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	552	250939740	0.2
	"10-14 years"	"10-14"	"Non-Injury: Atherosclerosis"	"GR113-071"	1	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	109	250939740	0.0
	"10-14 years"	"10-14"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	26	250939740	0.0
	"10-14 years"	"10-14"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	650	250939740	0.3
	"10-14 years"	"10-14"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	18	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	871	250939740	0.3
